rank,name,confed,off,def,spi
79,South Africa,CAF,1.33,1.18,48.64
80,Belarus,UEFA,1.21,1.05,48.6
81,Bahrain,AFC,1.13,0.97,48.51
82,Zimbabwe,CAF,1.38,1.23,48.45
83,Montenegro,UEFA,1.27,1.13,48.34
84,Libya,CAF,1.36,1.24,47.93
85,Albania,UEFA,1.21,1.1,47.43
86,Jamaica,CONCACAF,1.31,1.22,47.08
87,Kenya,CAF,1.13,1.05,46.82
88,Benin,CAF,1.19,1.11,46.69
89,Bulgaria,UEFA,1.19,1.12,46.52
90,Tanzania,CAF,1.26,1.21,46.31
91,Angola,CAF,1.18,1.13,46.05
92,Togo,CAF,1.16,1.13,45.66
93,Armenia,UEFA,1.53,1.54,45.53
94,Congo,CAF,1.25,1.24,45.36
95,New Zealand,OFC,1.26,1.3,44.18
96,Guatemala,CONCACAF,1.26,1.3,44.15
97,Cape Verde Islands,CAF,1.13,1.2,43.22
98,El Salvador,CONCACAF,1.07,1.15,42.72
99,Madagascar,CAF,1.29,1.45,41.92
100,Curacao,CONCACAF,1.29,1.47,41.53
101,Jordan,AFC,0.96,1.08,41.38
102,Oman,AFC,1.08,1.24,41.19
103,Mauritania,CAF,1.01,1.21,39.93
104,Malawi,CAF,0.68,0.83,39.43
105,United Arab Emirates,AFC,1.07,1.31,39.38
106,Gambia,CAF,1.12,1.39,39.0
107,Mozambique,CAF,1.07,1.34,38.83
108,Namibia,CAF,0.81,1.02,38.51
109,Kuwait,AFC,1.06,1.34,38.47
110,Equatorial Guinea,CAF,0.98,1.29,37.6
111,Liberia,CAF,1.05,1.37,37.46
112,Kazakhstan,UEFA,1.1,1.45,37.37
113,Trinidad and Tobago,CONCACAF,1.09,1.44,37.24
114,Luxembourg,UEFA,1.15,1.52,37.15
115,Botswana,CAF,0.74,1.01,36.94
116,Syria,AFC,1.39,1.84,36.68
117,Cyprus,UEFA,1.03,1.41,36.29
118,Rwanda,CAF,0.76,1.07,36.2
119,Cuba,CONCACAF,0.89,1.31,34.58
120,Azerbaijan,UEFA,0.92,1.4,33.75
121,Lithuania,UEFA,1.03,1.56,33.42
122,Sudan,CAF,0.81,1.28,33.26
123,Bermuda,CONCACAF,1.19,1.82,32.69
124,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
125,Lesotho,CAF,0.85,1.37,32.54
126,Guinea-Bissau,CAF,0.96,1.52,32.38
127,Lebanon,AFC,0.58,1.02,32.11
128,Estonia,UEFA,0.82,1.38,31.62
129,Vietnam,AFC,0.68,1.19,31.55
130,Dominican Republic,CONCACAF,1.1,1.78,31.24
131,Moldova,UEFA,0.84,1.44,30.97
132,Sierra Leone,CAF,1.0,1.69,30.51
133,Ethiopia,CAF,0.73,1.31,30.45
134,Central African Republic,CAF,1.04,1.75,30.27
135,Nicaragua,CONCACAF,0.86,1.53,29.88
136,Thailand,AFC,0.9,1.59,29.77
137,Chad,CAF,0.94,1.66,29.6
138,North Korea,AFC,0.87,1.59,28.99
139,Burundi,CAF,0.76,1.43,28.95
140,Comoros,CAF,0.9,1.65,28.76
141,Palestine,AFC,0.77,1.47,28.47
142,Kyrgyzstan,AFC,0.85,1.62,28.08
143,Niger,CAF,0.87,1.73,26.83
144,Turkmenistan,AFC,0.87,1.73,26.68
145,Latvia,UEFA,0.83,1.68,26.63
146,Fiji,OFC,0.67,1.45,26.35
147,Martinique,CONCACAF,0.94,1.85,26.34
148,Faroe Islands,UEFA,0.85,1.75,25.87
149,Guyana,CONCACAF,1.13,2.22,25.06
150,Belize,CONCACAF,0.79,1.73,24.84
151,Suriname,CONCACAF,0.76,1.71,24.52
152,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
153,Solomon Islands,OFC,0.69,1.71,22.71
154,Zanzibar,CAF,0.49,1.47,21.39
155,New Caledonia,OFC,0.69,1.85,20.92
156,Malaysia,AFC,0.76,1.98,20.71
157,Swaziland,CAF,0.61,1.73,20.63
158,Barbados,CONCACAF,0.54,1.61,20.53
159,Dominica,CONCACAF,0.55,1.65,20.29
160,Puerto Rico,CONCACAF,0.74,2.0,19.89
161,Eritrea,CAF,0.79,2.1,19.77
162,Tahiti,OFC,0.81,2.15,19.56
163,Philippines,AFC,0.72,2.02,19.31
164,South Sudan,CAF,0.73,2.07,18.83
165,Malta,UEFA,0.68,2.04,18.29
166,India,AFC,0.54,1.82,17.9
167,Singapore,AFC,0.65,2.05,17.47
168,Sao Tome and Principe,CAF,0.76,2.33,16.53
169,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
170,Liechtenstein,UEFA,0.66,2.17,16.35
171,Tajikistan,AFC,0.65,2.15,16.32
172,Hong Kong,AFC,0.34,1.57,16.04
173,Grenada,CONCACAF,0.68,2.22,16.04
174,Vanuatu,OFC,0.64,2.17,15.99
175,Mauritius,CAF,0.7,2.31,15.5
176,St. Lucia,CONCACAF,0.64,2.24,15.12
177,Gibraltar,UEFA,0.55,2.11,14.67
178,Yemen,AFC,0.51,2.09,14.29
179,Andorra,UEFA,0.31,1.81,12.8
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Indonesia,AFC,0.62,2.83,9.93
183,Myanmar,AFC,0.57,2.71,9.91
184,Montserrat,CONCACAF,0.81,3.24,9.65
185,Djibouti,CAF,0.62,2.86,9.59
186,Cayman Islands,CONCACAF,0.4,2.41,9.43
187,Papua New Guinea,OFC,0.6,2.88,9.16
188,Somalia,CAF,0.55,2.8,8.97
189,Bahamas,CONCACAF,0.73,3.44,7.5
190,Seychelles,CAF,0.41,2.8,7.04
191,Maldives,AFC,0.41,2.81,7.01
192,Bangladesh,AFC,0.25,2.46,6.78
193,French Guiana,CONCACAF,0.52,3.18,6.57
194,Nepal,AFC,0.23,2.48,6.39
195,Mongolia,AFC,0.25,2.72,5.41
196,Chinese Taipei,AFC,0.45,3.48,4.58
197,San Marino,UEFA,0.25,3.09,3.99
198,British Virgin Islands,CONCACAF,0.42,3.62,3.88
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Cambodia,AFC,0.28,3.35,3.44
201,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
202,Guam,AFC,0.51,4.42,2.48
203,Guadeloupe,CONCACAF,0.2,3.49,2.47
204,Anguilla,CONCACAF,0.35,4.08,2.29
205,Brunei,AFC,0.21,3.71,2.13
206,US Virgin Islands,CONCACAF,0.38,4.38,1.93
207,Sri Lanka,AFC,0.2,3.81,1.87
208,Pakistan,AFC,0.2,3.92,1.71
209,Laos,AFC,0.21,4.11,1.48
210,Bhutan,AFC,0.22,4.62,0.98
211,St. Martin,CONCACAF,0.23,4.89,0.81
212,Sint Maarten,CONCACAF,0.21,4.93,0.74
213,Tuvalu,OFC,0.38,5.62,0.7
214,Timor-Leste,AFC,0.33,5.56,0.64
215,Macau,AFC,0.2,5.11,0.6
216,Samoa,OFC,0.2,5.78,0.34
217,Tonga,OFC,0.2,6.08,0.26
