rank,name,confed,off,def,spi
195,Nepal,AFC,0.21,2.47,6.12
196,Mongolia,AFC,0.25,2.72,5.41
197,San Marino,UEFA,0.29,2.85,5.27
198,Chinese Taipei,AFC,0.45,3.48,4.58
199,British Virgin Islands,CONCACAF,0.42,3.62,3.88
200,Bonaire,CONCACAF,0.37,3.59,3.5
201,Cambodia,AFC,0.28,3.35,3.44
202,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
203,Guam,AFC,0.51,4.42,2.48
204,Guadeloupe,CONCACAF,0.2,3.49,2.47
205,Anguilla,CONCACAF,0.35,4.08,2.29
206,Brunei,AFC,0.21,3.71,2.13
207,US Virgin Islands,CONCACAF,0.38,4.38,1.93
208,Sri Lanka,AFC,0.2,3.81,1.87
209,Pakistan,AFC,0.2,3.92,1.71
210,Laos,AFC,0.21,4.11,1.48
211,Bhutan,AFC,0.22,4.62,0.98
212,St. Martin,CONCACAF,0.23,4.89,0.81
213,Sint Maarten,CONCACAF,0.21,4.93,0.74
214,Tuvalu,OFC,0.38,5.62,0.7
215,Timor-Leste,AFC,0.33,5.56,0.64
216,Macau,AFC,0.2,5.11,0.6
217,Samoa,OFC,0.2,5.78,0.34
218,Tonga,OFC,0.2,6.08,0.26
