rank,prev_rank,name,league,off,def,spi
556,554,Indy Eleven,United Soccer League,0.68,1.84,20.5
557,556,Shonan Bellmare,Japanese J League,0.58,1.68,20.11
558,563,Chateauroux,French Ligue 2,0.67,1.86,19.93
559,567,Shrewsbury Town,English League One,0.6,1.74,19.81
560,557,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
561,559,Yokohama FC,Japanese J League,0.68,1.89,19.6
562,562,Sandefjord,Norwegian Tippeligaen,0.6,1.78,19.39
563,533,Dundee Utd,Scottish Premiership,0.62,1.83,18.95
564,565,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
565,578,Rochdale,English League One,0.95,2.4,18.91
566,566,Central Coast Mariners,Australian A-League,0.73,2.04,18.86
567,560,Virtus Entella,Italy Serie B,0.63,1.89,18.62
568,555,Exeter City,English League Two,0.78,2.15,18.6
569,581,Ascoli,Italy Serie B,0.6,1.84,18.56
570,570,Miami FC,United Soccer League,0.83,2.25,18.46
571,568,US Pescara,Italy Serie B,0.58,1.81,18.33
572,572,Falkenbergs FF,Swedish Allsvenskan,0.74,2.11,18.32
573,573,Kalmar FF,Swedish Allsvenskan,0.6,1.86,18.23
574,583,Plymouth Argyle,English League One,0.76,2.15,18.1
575,574,Saint Louis FC,United Soccer League,0.64,1.94,18.03
576,575,Östersunds FK,Swedish Allsvenskan,0.65,1.97,17.92
577,577,IK Start,Norwegian Tippeligaen,0.67,2.04,17.68
578,571,Salford City,English League Two,0.52,1.76,17.67
579,576,Hamilton Academical,Scottish Premiership,0.65,2.0,17.57
580,564,Crewe Alexandra,English League One,0.67,2.03,17.55
581,580,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
582,582,Mjondalen,Norwegian Tippeligaen,0.55,1.86,17.02
583,585,Charlotte Independence,United Soccer League,0.66,2.09,16.87
584,586,North Carolina FC,United Soccer League,0.65,2.09,16.69
585,587,LA Galaxy II,United Soccer League,0.84,2.45,16.26
586,588,Reggiana,Italy Serie B,0.52,1.89,16.05
587,584,Ross County,Scottish Premiership,0.63,2.13,15.63
588,590,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
589,591,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
590,593,Cheltenham Town,English League Two,0.44,1.79,15.45
591,597,Oldham Athletic,English League Two,0.78,2.44,15.35
592,595,Carlisle United,English League Two,0.52,1.95,15.29
593,594,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
594,589,Swindon Town,English League One,0.71,2.33,15.14
595,599,Mansfield Town,English League Two,0.59,2.14,14.72
596,579,Wigan,English League One,0.66,2.28,14.62
597,600,Burton Albion,English League One,0.75,2.47,14.39
598,596,Crawley Town,English League Two,0.58,2.19,14.11
599,601,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
600,602,Hartford Athletic,United Soccer League,0.66,2.37,13.84
601,598,Bristol Rovers,English League One,0.47,2.01,13.52
602,603,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
603,612,Tranmere Rovers,English League Two,0.5,2.09,13.41
604,592,Leyton Orient,English League Two,0.49,2.09,13.34
605,604,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
606,605,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
607,608,Bolton,English League Two,0.53,2.21,12.95
608,606,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
609,613,Cambridge United,English League Two,0.43,2.01,12.72
610,607,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
611,610,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
612,611,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
613,609,Forest Green Rovers,English League Two,0.35,1.89,12.27
614,616,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
615,617,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
616,618,Port Vale,English League Two,0.54,2.38,11.56
617,621,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
618,620,Barrow,English League Two,0.44,2.24,10.95
619,629,Morecambe,English League Two,0.41,2.17,10.91
620,628,Bradford City,English League Two,0.32,1.96,10.86
621,619,Newport County,English League Two,0.36,2.08,10.82
622,622,Northampton Town,English League One,0.4,2.16,10.8
623,614,AFC Wimbledon,English League One,0.44,2.28,10.7
624,623,Aalesund,Norwegian Tippeligaen,0.59,2.64,10.37
625,624,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
626,630,Walsall,English League Two,0.39,2.23,10.07
627,625,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
628,626,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
629,627,Atlanta United 2,United Soccer League,0.57,2.67,9.86
630,615,Colchester United,English League Two,0.32,2.16,9.38
631,632,Scunthorpe,English League Two,0.32,2.19,9.05
632,631,Stevenage,English League Two,0.2,2.04,7.96
633,634,Harrogate Town,English League Two,0.23,2.27,7.0
634,635,Loudoun United FC,United Soccer League,0.34,2.65,6.51
635,633,Southend United,English League Two,0.2,2.4,5.85
636,636,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
637,637,Grimsby Town,English League Two,0.2,2.54,5.19
